"downloaded","item_id","item_definition","category","16","17","18","19","20","21","22","23","24","25"
2026-02-20,1,"baa baa","sounds",0.47,0.52,0.51,0.58,0.73,0.73,0.75,0.84,0.92,0.86
2026-02-20,2,"choo choo","sounds",0.27,0.39,0.44,0.49,0.63,0.72,0.71,0.83,0.85,0.83
2026-02-20,3,"cockadoodledoo","sounds",0.05,0.09,0.11,0.1,0.15,0.23,0.25,0.29,0.41,0.39
2026-02-20,4,"grr","sounds",0.41,0.45,0.46,0.49,0.65,0.67,0.75,0.71,0.82,0.75
2026-02-20,5,"meow","sounds",0.31,0.38,0.43,0.6,0.64,0.68,0.89,0.79,0.89,0.89
2026-02-20,6,"moo","sounds",0.42,0.53,0.58,0.68,0.76,0.77,0.82,0.9,0.94,0.94
2026-02-20,7,"ouch","sounds",0.18,0.24,0.3,0.46,0.54,0.57,0.71,0.66,0.85,0.75
2026-02-20,8,"quack","sounds",0.45,0.45,0.56,0.61,0.77,0.79,0.75,0.84,0.93,0.83
2026-02-20,9,"uh oh","sounds",0.57,0.65,0.72,0.8,0.9,0.91,0.93,0.89,0.94,0.94
2026-02-20,10,"vroom","sounds",0.35,0.31,0.33,0.47,0.56,0.51,0.61,0.54,0.72,0.67
2026-02-20,11,"woof","sounds",0.45,0.48,0.53,0.69,0.75,0.73,0.86,0.82,0.87,0.89
2026-02-20,12,"yum","sounds",0.37,0.43,0.43,0.54,0.64,0.61,0.64,0.72,0.74,0.72
2026-02-20,13,"animal","animals",0.03,0.05,0.06,0.11,0.19,0.27,0.36,0.42,0.44,0.53
2026-02-20,14,"bear","animals",0.15,0.2,0.25,0.38,0.47,0.52,0.57,0.65,0.72,0.69
2026-02-20,15,"bee","animals",0.17,0.21,0.25,0.39,0.54,0.56,0.71,0.72,0.78,0.78
2026-02-20,16,"bird","animals",0.24,0.27,0.29,0.46,0.63,0.65,0.68,0.74,0.84,0.83
2026-02-20,17,"bunny / rabbit","animals",0.17,0.15,0.2,0.31,0.44,0.53,0.57,0.71,0.77,0.69
2026-02-20,18,"butterfly","animals",0.04,0.08,0.08,0.17,0.25,0.33,0.39,0.55,0.71,0.67
2026-02-20,19,"cat","animals",0.32,0.37,0.5,0.66,0.74,0.77,0.75,0.83,0.92,0.94
2026-02-20,20,"chicken","animals",0.06,0.08,0.12,0.23,0.33,0.4,0.43,0.6,0.7,0.67
2026-02-20,21,"cow","animals",0.12,0.14,0.19,0.39,0.5,0.59,0.57,0.71,0.79,0.86
2026-02-20,22,"deer","animals",0,0.03,0.04,0.05,0.08,0.11,0.29,0.2,0.21,0.39
2026-02-20,23,"dog","animals",0.37,0.48,0.52,0.68,0.76,0.83,0.79,0.82,0.93,0.89
2026-02-20,24,"donkey","animals",0.03,0.04,0.04,0.08,0.15,0.19,0.29,0.37,0.44,0.47
2026-02-20,25,"duck","animals",0.35,0.38,0.42,0.61,0.68,0.76,0.71,0.83,0.87,0.83
2026-02-20,26,"elephant","animals",0.05,0.06,0.08,0.22,0.27,0.29,0.36,0.5,0.69,0.64
2026-02-20,27,"fish","animals",0.25,0.38,0.4,0.49,0.6,0.69,0.57,0.75,0.86,0.83
2026-02-20,28,"frog","animals",0.08,0.12,0.1,0.21,0.35,0.37,0.39,0.62,0.69,0.75
2026-02-20,29,"giraffe","animals",0.04,0.06,0.11,0.17,0.32,0.32,0.39,0.53,0.63,0.64
