list_name,associate_count,direction,source_word,gold_word,gold_score,gold_rc,gold_cosine,best_wrong_word,best_wrong_score,best_wrong_rc,best_wrong_cosine,margin,rank,is_top_match
list-1,10,pl_to_en,samochód,car,0.8709564208984375,0.8709564208984375,0.969849705696106,motorcycle,0.8185543417930603,0.8185543417930603,0.7077777981758118,0.0524020791053772,1,True
list-1,10,pl_to_en,autobus,bus,0.49181845784187317,0.49181845784187317,0.963062047958374,ambulance,0.6911951303482056,0.6911951303482056,0.6239892244338989,-0.1993766725063324,10,False
list-1,10,pl_to_en,ciężarówka,truck,0.8583868741989136,0.8583868741989136,0.946628212928772,car,0.7770070433616638,0.7770070433616638,0.7457256317138672,0.08137983083724976,1,True
list-1,10,pl_to_en,helikopter,helicopter,0.8112333416938782,0.8112333416938782,0.9488226771354675,motorcycle,0.7753496170043945,0.7753496170043945,0.5317783355712891,0.03588372468948364,1,True
list-1,10,pl_to_en,koparka,excavator,0.38617029786109924,0.38617029786109924,0.6398141384124756,cat,0.7257106304168701,0.7257106304168701,0.5356836318969727,-0.3395403325557709,3,False
list-1,10,pl_to_en,lokomotywa,locomotive,0.8826118111610413,0.8826118111610413,0.9156539440155029,motorcycle,0.8371497988700867,0.8371497988700867,0.7118358016014099,0.04546201229095459,1,True
list-1,10,pl_to_en,motocykl,motorcycle,0.8775161504745483,0.8775161504745483,0.9700919389724731,car,0.7671017646789551,0.7671017646789551,0.7108734846115112,0.11041438579559326,1,True
list-1,10,pl_to_en,pociąg,train,0.5234434008598328,0.5234434008598328,0.8771855235099792,ambulance,0.6130222678184509,0.6130222678184509,0.5763230323791504,-0.08957886695861816,6,False
list-1,10,pl_to_en,karetka,ambulance,0.6703842878341675,0.6703842878341675,0.7768589854240417,cat,0.6333726048469543,0.6333726048469543,0.5680515766143799,0.037011682987213135,1,True
list-1,10,pl_to_en,rower,bicycle,0.5117274522781372,0.5117274522781372,0.8629692196846008,motorcycle,0.6255511045455933,0.6255511045455933,0.7430852055549622,-0.11382365226745605,4,False
list-1,10,pl_to_en,samolot,airplane,0.7712982296943665,0.7712982296943665,0.9533126354217529,car,0.7359485626220703,0.7359485626220703,0.5805299878120422,0.03534966707229614,1,True
list-1,10,pl_to_en,statek,ship,0.6872910261154175,0.6872910261154175,0.9291547536849976,bus,0.6936138868331909,0.6936138868331909,0.5979580879211426,-0.0063228607177734375,2,False
list-1,10,pl_to_en,traktor,tractor,0.8999067544937134,0.8999067544937134,0.9701651334762573,motorcycle,0.8317802548408508,0.8317802548408508,0.6386532187461853,0.06812649965286255,1,True
list-1,10,pl_to_en,tramwaj,tram,0.48380035161972046,0.48380035161972046,0.9309439659118652,ambulance,0.6379728317260742,0.6379728317260742,0.5994402766227722,-0.15417248010635376,4,False
list-1,10,pl_to_en,pies,dog,0.9448180794715881,0.9448180794715881,0.8403438329696655,cat,0.9057044386863708,0.9057044386863708,0.762213945388794,0.039113640785217285,1,True
list-1,10,pl_to_en,kot,cat,0.8103215098381042,0.8103215098381042,0.7402224540710449,dog,0.7292686700820923,0.7292686700820923,0.6750798225402832,0.08105283975601196,1,True
list-1,10,pl_to_en,dom,house,0.8220362067222595,0.8220362067222595,0.9488158226013184,mom,0.43925410509109497,0.43925410509109497,0.6134346723556519,0.38278210163116455,1,True
list-1,10,pl_to_en,woda,water,0.9295917749404907,0.9295917749404907,0.9819716215133667,train,0.6491060853004456,0.6491060853004456,0.46532970666885376,0.28048568964004517,1,True
list-1,10,pl_to_en,duży,big,0.8542670607566833,0.8542670607566833,0.9700572490692139,bicycle,0.70058673620224,0.70058673620224,0.4275934398174286,0.15368032455444336,1,True
